Name,Body Part,Equipment,Intensity,Calories Burned (Man) 10min,Calories Burned (Woman) 10min
dumbbell lying alternate extension,upper arms,dumbbell,high,69,56
dumbbell lying elbow press,upper arms,dumbbell,high,69,56
dumbbell lying external shoulder rotation,shoulders,dumbbell,high,69,56
dumbbell lying femoral,upper legs,dumbbell,high,71,58
dumbbell lying hammer press,chest,dumbbell,high,71,58
dumbbell lying on floor rear delt raise,shoulders,dumbbell,high,69,56
dumbbell lying one arm deltoid rear,shoulders,dumbbell,high,69,56
dumbbell lying one arm press,chest,dumbbell,high,71,58
dumbbell lying one arm press v. 2,chest,dumbbell,high,71,58
dumbbell lying one arm pronated triceps extension,upper arms,dumbbell,high,69,56
dumbbell lying one arm rear lateral raise,shoulders,dumbbell,high,69,56
dumbbell lying one arm supinated triceps extension,upper arms,dumbbell,high,69,56
dumbbell lying pronation,lower arms,dumbbell,high,64,52
dumbbell lying pronation on floor,lower arms,dumbbell,high,64,52
dumbbell lying pullover on exercise ball,chest,dumbbell,high,71,58
dumbbell lying rear delt row,back,dumbbell,high,71,58
dumbbell lying rear lateral raise,shoulders,dumbbell,high,69,56
dumbbell lying single extension,upper arms,dumbbell,high,69,56
dumbbell lying supination,lower arms,dumbbell,high,64,52
dumbbell lying supination on floor,lower arms,dumbbell,high,64,52
dumbbell lying supine biceps curl,upper arms,dumbbell,high,69,56
dumbbell lying supine curl,upper arms,dumbbell,high,69,56
dumbbell lying triceps extension,upper arms,dumbbell,high,69,56
dumbbell lying wide curl,upper arms,dumbbell,high,69,56
dumbbell neutral grip bench press,upper arms,dumbbell,high,69,56
dumbbell one arm bench fly,chest,dumbbell,high,71,58
dumbbell one arm bent-over row,back,dumbbell,high,71,58
dumbbell one arm chest fly on exercise ball,chest,dumbbell,high,71,58
dumbbell one arm concentration curl (on stability ball),upper arms,dumbbell,high,69,56
dumbbell one arm decline chest press,chest,dumbbell,high,71,58
dumbbell one arm fly on exercise ball,chest,dumbbell,high,71,58
dumbbell one arm french press on exercise ball,upper arms,dumbbell,high,69,56
dumbbell one arm hammer preacher curl,upper arms,dumbbell,high,69,56
dumbbell one arm hammer press on exercise ball,upper arms,dumbbell,high,69,56
dumbbell one arm incline chest press,chest,dumbbell,high,71,58
dumbbell one arm kickback,upper arms,dumbbell,high,69,56
dumbbell one arm lateral raise,shoulders,dumbbell,high,69,56
dumbbell one arm lateral raise with support,shoulders,dumbbell,high,69,56
dumbbell one arm press on exercise ball,chest,dumbbell,high,71,58
dumbbell one arm prone curl,upper arms,dumbbell,high,69,56
dumbbell one arm prone hammer curl,upper arms,dumbbell,high,69,56
dumbbell one arm pullover on exercise ball,chest,dumbbell,high,71,58
dumbbell one arm reverse wrist curl,lower arms,dumbbell,high,64,52
dumbbell one arm reverse fly (with support),shoulders,dumbbell,high,69,56
dumbbell one arm reverse grip press,chest,dumbbell,high,71,58
dumbbell one arm reverse preacher curl,upper arms,dumbbell,high,69,56
dumbbell one arm reverse spider curl,upper arms,dumbbell,high,69,56
dumbbell one arm seated bicep curl on exercise ball,upper arms,dumbbell,high,69,56
dumbbell one arm seated hammer curl,upper arms,dumbbell,high,69,56
dumbbell one arm seated neutral wrist curl,lower arms,dumbbell,high,64,52
dumbbell one arm shoulder press,shoulders,dumbbell,high,69,56
dumbbell one arm shoulder press v. 2,shoulders,dumbbell,high,69,56
dumbbell one arm snatch,upper legs,dumbbell,high,71,58
dumbbell one arm standing curl,upper arms,dumbbell,high,69,56
dumbbell one arm standing hammer curl,upper arms,dumbbell,high,69,56
dumbbell one arm triceps extension (on bench),upper arms,dumbbell,high,69,56
dumbbell one arm upright row,shoulders,dumbbell,high,69,56
dumbbell one arm wrist curl,lower arms,dumbbell,high,64,52
dumbbell one arm zottman preacher curl,upper arms,dumbbell,high,69,56
dumbbell one leg fly on exercise ball,chest,dumbbell,high,71,58
dumbbell over bench neutral wrist curl,upper arms,dumbbell,high,69,56
dumbbell over bench one arm neutral wrist curl,upper arms,dumbbell,high,69,56
dumbbell over bench one arm reverse wrist curl,lower arms,dumbbell,high,64,52
dumbbell over bench one arm wrist curl,lower arms,dumbbell,high,64,52
dumbbell over bench revers wrist curl,lower arms,dumbbell,high,64,52
dumbbell over bench wrist curl,lower arms,dumbbell,high,64,52
dumbbell palm rotational bent over row,back,dumbbell,high,71,58
dumbbell palms in incline bench press,upper arms,dumbbell,high,69,56
dumbbell peacher hammer curl,upper arms,dumbbell,high,69,56
dumbbell plyo squat,upper legs,dumbbell,high,71,58
dumbbell preacher curl,upper arms,dumbbell,high,69,56
dumbbell preacher curl over exercise ball,upper arms,dumbbell,high,69,56
dumbbell press on exercise ball,chest,dumbbell,high,71,58
dumbbell pronate-grip triceps extension,upper arms,dumbbell,high,69,56
dumbbell prone incline curl,upper arms,dumbbell,high,69,56
dumbbell prone incline hammer curl,upper arms,dumbbell,high,69,56
dumbbell pullover,chest,dumbbell,high,71,58
dumbbell pullover hip extension on exercise ball,chest,dumbbell,high,71,58
dumbbell pullover on exercise ball,chest,dumbbell,high,71,58
dumbbell push press,shoulders,dumbbell,high,69,56
dumbbell raise,shoulders,dumbbell,high,69,56
dumbbell rear delt raise,shoulders,dumbbell,high,69,56
dumbbell rear delt row_shoulder,shoulders,dumbbell,high,69,56
dumbbell rear fly,shoulders,dumbbell,high,69,56
dumbbell rear lateral raise,shoulders,dumbbell,high,69,56
dumbbell rear lateral raise (support head),shoulders,dumbbell,high,69,56
dumbbell rear lunge,upper legs,dumbbell,high,71,58
dumbbell revers grip biceps curl,upper arms,dumbbell,high,69,56
dumbbell reverse bench press,chest,dumbbell,high,71,58
dumbbell reverse fly,shoulders,dumbbell,high,69,56
dumbbell reverse grip incline bench one arm row,back,dumbbell,high,71,58
dumbbell reverse grip incline bench two arm row,back,dumbbell,high,71,58
dumbbell reverse grip row (female),back,dumbbell,high,71,58
dumbbell reverse preacher curl,upper arms,dumbbell,high,69,56
dumbbell reverse spider curl,upper arms,dumbbell,high,69,56
dumbbell reverse wrist curl,lower arms,dumbbell,high,64,52
dumbbell romanian deadlift,upper legs,dumbbell,high,71,58
dumbbell rotation reverse fly,shoulders,dumbbell,high,69,56
dumbbell scott press,shoulders,dumbbell,high,69,56
dumbbell seated alternate front raise,shoulders,dumbbell,high,69,56
dumbbell seated alternate hammer curl on exercise ball,upper arms,dumbbell,high,69,56
dumbbell seated alternate press,shoulders,dumbbell,high,69,56
dumbbell seated alternate shoulder,shoulders,dumbbell,high,69,56
dumbbell seated bench extension,upper arms,dumbbell,high,69,56
dumbbell seated bent arm lateral raise,shoulders,dumbbell,high,69,56
dumbbell seated bent over alternate kickback,upper arms,dumbbell,high,69,56
dumbbell seated bent over triceps extension,upper arms,dumbbell,high,69,56
dumbbell seated bicep curl,upper arms,dumbbell,high,69,56
dumbbell seated biceps curl (on stability ball),upper arms,dumbbell,high,69,56
dumbbell seated biceps curl to shoulder press,upper arms,dumbbell,high,69,56
dumbbell seated calf raise,lower legs,dumbbell,high,67,54
dumbbell seated curl,upper arms,dumbbell,high,69,56
dumbbell seated front raise,shoulders,dumbbell,high,69,56
dumbbell seated hammer curl,upper arms,dumbbell,high,69,56
dumbbell seated inner biceps curl,upper arms,dumbbell,high,69,56
dumbbell seated kickback,upper arms,dumbbell,high,69,56
dumbbell seated lateral raise,shoulders,dumbbell,high,69,56
dumbbell seated lateral raise v. 2,shoulders,dumbbell,high,69,56
dumbbell seated neutral wrist curl,upper arms,dumbbell,high,69,56
dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,dumbbell,high,69,56
dumbbell seated one arm kickback,upper arms,dumbbell,high,69,56
dumbbell seated one arm rotate,lower arms,dumbbell,high,64,52
dumbbell seated one leg calf raise,lower legs,dumbbell,high,67,54
dumbbell seated one leg calf raise - hammer grip,lower legs,dumbbell,high,67,54
dumbbell seated one leg calf raise - palm up,lower legs,dumbbell,high,67,54
dumbbell seated palms up wrist curl,lower arms,dumbbell,high,64,52
dumbbell seated preacher curl,upper arms,dumbbell,high,69,56
dumbbell seated revers grip concentration curl,upper arms,dumbbell,high,69,56
dumbbell seated reverse grip one arm overhead tricep extension,upper arms,dumbbell,high,69,56
dumbbell seated shoulder press,shoulders,dumbbell,high,69,56
dumbbell seated shoulder press (parallel grip),shoulders,dumbbell,high,69,56
dumbbell seated triceps extension,upper arms,dumbbell,high,69,56
dumbbell shrug,back,dumbbell,high,71,58
dumbbell side bend,waist,dumbbell,light,27,22
dumbbell side lying one hand raise,shoulders,dumbbell,high,69,56
dumbbell side plank with rear fly,back,dumbbell,high,71,58
dumbbell single arm overhead carry,shoulders,dumbbell,high,69,56
dumbbell single leg calf raise,lower legs,dumbbell,high,67,54
dumbbell single leg deadlift,upper legs,dumbbell,high,71,58
dumbbell single leg deadlift with stepbox support,upper legs,dumbbell,high,71,58
dumbbell single leg split squat,upper legs,dumbbell,high,71,58
dumbbell single leg squat,upper legs,dumbbell,high,71,58
dumbbell squat,upper legs,dumbbell,high,71,58
dumbbell standing alternate hammer curl and press,upper arms,dumbbell,high,69,56
dumbbell standing alternate overhead press,shoulders,dumbbell,high,69,56
dumbbell standing alternate raise,shoulders,dumbbell,high,69,56
dumbbell standing alternating tricep kickback,upper arms,dumbbell,high,69,56
dumbbell standing around world,shoulders,dumbbell,high,69,56
dumbbell standing bent over one arm triceps extension,upper arms,dumbbell,high,69,56
dumbbell standing bent over two arm triceps extension,upper arms,dumbbell,high,69,56
dumbbell standing biceps curl,upper arms,dumbbell,high,69,56
dumbbell standing calf raise,lower legs,dumbbell,high,67,54
dumbbell standing concentration curl,upper arms,dumbbell,high,69,56
dumbbell standing front raise above head,shoulders,dumbbell,high,69,56
dumbbell standing inner biceps curl v. 2,upper arms,dumbbell,high,69,56
dumbbell standing kickback,upper arms,dumbbell,high,69,56
dumbbell standing one arm concentration curl,upper arms,dumbbell,high,69,56
dumbbell standing one arm curl (over incline bench),upper arms,dumbbell,high,69,56
dumbbell standing one arm curl over incline bench,upper arms,dumbbell,high,69,56
dumbbell standing one arm extension,upper arms,dumbbell,high,69,56
dumbbell standing one arm palm in press,shoulders,dumbbell,high,69,56
dumbbell standing one arm reverse curl,upper arms,dumbbell,high,69,56
dumbbell standing overhead press,shoulders,dumbbell,high,69,56
dumbbell standing palms in press,shoulders,dumbbell,high,69,56
dumbbell standing preacher curl,upper arms,dumbbell,high,69,56
dumbbell standing reverse curl,upper arms,dumbbell,high,69,56
dumbbell standing triceps extension,upper arms,dumbbell,high,69,56
dumbbell standing zottman preacher curl,upper arms,dumbbell,high,69,56
dumbbell step up single leg balance with bicep curl,upper arms,dumbbell,high,69,56
dumbbell step-up,upper legs,dumbbell,high,71,58
dumbbell step-up lunge,upper legs,dumbbell,high,71,58
dumbbell step-up split squat,upper legs,dumbbell,high,71,58
dumbbell stiff leg deadlift,upper legs,dumbbell,high,71,58
dumbbell straight arm pullover,chest,dumbbell,high,71,58
dumbbell straight leg deadlift,upper legs,dumbbell,high,71,58
dumbbell sumo pull through,upper legs,dumbbell,high,71,58
dumbbell supported squat,upper legs,dumbbell,high,71,58
dumbbell tate press,upper arms,dumbbell,high,69,56
dumbbell tricep kickback with stork stance,upper arms,dumbbell,high,69,56
dumbbell twisting bench press,upper arms,dumbbell,high,69,56
dumbbell upright row,shoulders,dumbbell,high,69,56
dumbbell upright row (back pov),shoulders,dumbbell,high,69,56
dumbbell upright shoulder external rotation,shoulders,dumbbell,high,69,56
dumbbell waiter biceps curl,upper arms,dumbbell,high,69,56
dumbbell w-press,shoulders,dumbbell,high,69,56
dumbbell zottman curl,upper arms,dumbbell,high,69,56
dumbbell zottman preacher curl,upper arms,dumbbell,high,69,56
dumbbells seated triceps extension,upper arms,dumbbell,high,69,56
dynamic chest stretch (male),chest,body weight,light,34,28
elbow dips,upper arms,body weight,high,72,59
elbow lift - reverse push-up,back,body weight,high,75,61
elbow-to-knee,waist,body weight,light,30,25
elevator,back,body weight,high,75,61
exercise ball alternating arm ups,back,stability ball,high,71,58
exercise ball back extension with arms extended,back,stability ball,high,71,58
exercise ball back extension with hands behind head,back,stability ball,high,71,58
exercise ball back extension with knees off ground,back,stability ball,high,71,58
exercise ball back extension with rotation,back,stability ball,high,71,58
exercise ball dip,upper arms,stability ball,high,69,56
exercise ball hip flexor stretch,upper legs,stability ball,light,30,25
exercise ball hug,back,stability ball,high,71,58
exercise ball lat stretch,back,stability ball,light,30,25
exercise ball lower back stretch (pyramid),back,stability ball,light,30,25
exercise ball lying side lat stretch,back,stability ball,light,30,25
exercise ball on the wall calf raise,lower legs,dumbbell,high,67,54
exercise ball on the wall calf raise (tennis ball between ankles),lower legs,dumbbell,high,67,54
exercise ball on the wall calf raise (tennis ball between knees),lower legs,dumbbell,high,67,54
exercise ball one leg prone lower body rotation,upper legs,stability ball,high,71,58
exercise ball one legged diagonal kick hamstring curl,upper legs,stability ball,high,71,58
exercise ball pike push up,chest,stability ball,high,71,58
exercise ball prone leg raise,back,stability ball,high,71,58
exercise ball seated hamstring stretch,upper legs,stability ball,light,30,25
exercise ball seated triceps stretch,upper arms,stability ball,light,28,23
exercise ball supine triceps extension,upper arms,dumbbell,high,69,56
ez bar french press on exercise ball,upper arms,ez barbell,high,69,56
ez bar lying bent arms pullover,back,ez barbell,high,71,58
ez bar lying close grip triceps extension behind head,upper arms,ez barbell,high,69,56
ez bar reverse grip bent over row,back,ez barbell,high,71,58
ez bar seated close grip concentration curl,upper arms,ez barbell,high,69,56
ez bar standing french press,upper arms,ez barbell,high,69,56
ez barbell anti gravity press,shoulders,ez barbell,high,69,56
ez barbell close grip preacher curl,upper arms,ez barbell,high,69,56
ez barbell close-grip curl,upper arms,ez barbell,high,69,56
ez barbell curl,upper arms,ez barbell,high,69,56
ez barbell decline close grip face press,upper arms,ez barbell,high,69,56
ez barbell decline triceps extension,upper arms,ez barbell,high,69,56
ez barbell incline triceps extension,upper arms,ez barbell,high,69,56
ez barbell jm bench press,upper arms,ez barbell,high,69,56
ez barbell reverse grip curl,upper arms,ez barbell,high,69,56
ez barbell reverse grip preacher curl,upper arms,ez barbell,high,69,56
ez barbell seated curls,upper arms,ez barbell,high,69,56
ez barbell seated triceps extension,upper arms,ez barbell,high,69,56
ez barbell spider curl,upper arms,ez barbell,high,69,56
ez barbell spider curl,upper arms,ez barbell,high,69,56
ez-bar biceps curl (with arm blaster),upper arms,ez barbell,high,69,56
ez-bar close-grip bench press,upper arms,ez barbell,high,69,56
ez-barbell standing wide grip biceps curl,upper arms,ez barbell,high,69,56
farmers walk,upper legs,dumbbell,high,71,58
finger curls,lower arms,barbell,high,64,52
flag,waist,body weight,light,30,25
flexion leg sit up (bent knee),waist,body weight,light,30,25
flexion leg sit up (straight arm),waist,body weight,light,30,25
floor fly (with barbell),chest,barbell,high,71,58
flutter kicks,upper legs,body weight,moderate,51,42
forward jump,upper legs,body weight,moderate,51,42
forward lunge (male),upper legs,body weight,moderate,51,42
frankenstein squat,upper legs,barbell,high,71,58
frog crunch,waist,body weight,light,30,25
frog planche,waist,body weight,light,30,25
front lever,waist,body weight,light,30,25
front lever reps,back,body weight,high,75,61
front plank with twist,waist,body weight,light,30,25
full maltese,waist,body weight,light,30,25
full planche,waist,body weight,light,30,25
full planche push-up,chest,body weight,high,75,61
gironda sternum chin,back,body weight,high,75,61
glute bridge march,upper legs,body weight,moderate,51,42
glute bridge two legs on bench (male),upper legs,body weight,moderate,51,42
glute-ham raise,upper legs,body weight,moderate,51,42
gorilla chin,waist,body weight,light,30,25
groin crunch,waist,body weight,light,30,25
hack calf raise,lower legs,sled machine,high,67,54
hack one leg calf raise,lower legs,sled machine,high,67,54
half knee bends (male),cardio,body weight,high,68,55
half sit-up (male),waist,body weight,light,30,25
hamstring stretch,upper legs,body weight,light,34,28
hands bike,chest,upper body ergometer,high,71,58
hands clasped circular toe touch (male),upper legs,body weight,moderate,51,42
hands reversed clasped circular toe touch (male),upper legs,body weight,moderate,51,42
handstand,upper arms,body weight,high,72,59
handstand push-up,upper arms,body weight,high,72,59
hanging leg hip raise,waist,body weight,light,30,25
hanging leg raise,waist,body weight,light,30,25
hanging oblique knee raise,waist,body weight,light,30,25
hanging pike,waist,body weight,light,30,25
hanging straight leg hip raise,waist,body weight,light,30,25
hanging straight leg raise,waist,body weight,light,30,25
hanging straight twisting leg hip raise,waist,body weight,light,30,25
high knee against wall,cardio,body weight,high,68,55
hip raise (bent knee),waist,body weight,light,30,25
hug keens to chest,upper legs,body weight,moderate,51,42
hyght dumbbell fly,chest,dumbbell,high,71,58
hyperextension,back,body weight,high,75,61
hyperextension (on bench),back,body weight,high,75,61
impossible dips,upper arms,body weight,high,72,59
inchworm,waist,body weight,light,30,25
inchworm v. 2,waist,body weight,light,30,25
incline close-grip push-up,upper arms,body weight,high,72,59
incline leg hip raise (leg straight),waist,body weight,light,30,25
incline push up depth jump,chest,body weight,high,75,61
incline push-up,chest,body weight,high,75,61
incline push-up (on box),chest,body weight,high,75,61
incline reverse grip push-up,chest,body weight,high,75,61
incline scapula push up,chest,body weight,high,75,61
incline twisting sit-up,waist,body weight,light,30,25
intermediate hip flexor and quad stretch,upper legs,rope,light,30,25
inverse leg curl (bench support),upper legs,body weight,moderate,51,42
inverse leg curl (on pull-up cable machine),upper legs,body weight,moderate,51,42
inverted row,back,body weight,high,75,61
inverted row bent knees,back,body weight,high,75,61
inverted row on bench,back,body weight,high,75,61
inverted row v. 2,back,body weight,high,75,61
inverted row with straps,back,body weight,high,75,61
iron cross stretch,upper legs,body weight,light,34,28
isometric chest squeeze,chest,body weight,high,75,61
isometric wipers,chest,body weight,high,75,61
jack burpee,cardio,body weight,high,68,55
jack jump (male),cardio,body weight,high,68,55
jackknife sit-up,waist,body weight,light,30,25
janda sit-up,waist,body weight,light,30,25
jump rope,cardio,rope,high,64,52
jump squat,upper legs,body weight,moderate,51,42
jump squat v. 2,upper legs,body weight,moderate,51,42
kettlebell advanced windmill,waist,kettlebell,light,27,22
kettlebell alternating hang clean,lower arms,kettlebell,high,64,52
kettlebell alternating press,shoulders,kettlebell,high,69,56
kettlebell alternating press on floor,chest,kettlebell,high,71,58
kettlebell alternating renegade row,back,kettlebell,high,71,58
kettlebell alternating row,back,kettlebell,high,71,58
kettlebell arnold press,shoulders,kettlebell,high,69,56
kettlebell bent press,waist,kettlebell,light,27,22
kettlebell bottoms up clean from the hang position,upper arms,kettlebell,high,69,56
kettlebell double alternating hang clean,upper arms,kettlebell,high,69,56
kettlebell double jerk,shoulders,kettlebell,high,69,56
kettlebell double push press,shoulders,kettlebell,high,69,56
kettlebell double snatch,shoulders,kettlebell,high,69,56
kettlebell double windmill,waist,kettlebell,light,27,22
kettlebell extended range one arm press on floor,chest,kettlebell,high,71,58
kettlebell figure 8,waist,kettlebell,light,27,22
kettlebell front squat,upper legs,kettlebell,high,71,58
kettlebell goblet squat,upper legs,kettlebell,high,71,58
kettlebell hang clean,upper legs,kettlebell,high,71,58
kettlebell lunge pass through,upper legs,kettlebell,high,71,58
kettlebell one arm clean and jerk,shoulders,kettlebell,high,69,56
kettlebell one arm floor press,chest,kettlebell,high,71,58
kettlebell one arm jerk,shoulders,kettlebell,high,69,56
kettlebell one arm military press to the side,shoulders,kettlebell,high,69,56
kettlebell one arm push press,shoulders,kettlebell,high,69,56
kettlebell one arm row,back,kettlebell,high,71,58
kettlebell one arm snatch,shoulders,kettlebell,high,69,56
kettlebell pirate supper legs,shoulders,kettlebell,high,69,56
kettlebell pistol squat,upper legs,kettlebell,high,71,58
kettlebell plyo push-up,chest,kettlebell,high,71,58
kettlebell seated press,shoulders,kettlebell,high,69,56
kettlebell seated two arm military press,shoulders,kettlebell,high,69,56
kettlebell seesaw press,shoulders,kettlebell,high,69,56
kettlebell sumo high pull,back,kettlebell,high,71,58
kettlebell swing,upper legs,kettlebell,high,71,58
kettlebell thruster,shoulders,kettlebell,high,69,56
kettlebell turkish get up (squat style),upper legs,kettlebell,high,71,58
kettlebell two arm clean,shoulders,kettlebell,high,69,56
kettlebell two arm military press,shoulders,kettlebell,high,69,56
kettlebell two arm row,back,kettlebell,high,71,58
kettlebell windmill,waist,kettlebell,light,27,22
kick out sit,upper legs,body weight,moderate,51,42
kipping muscle up,back,body weight,high,75,61
knee touch crunch,waist,body weight,light,30,25
kneeling jump squat,upper legs,barbell,high,71,58
kneeling lat stretch,back,body weight,light,34,28
kneeling plank tap shoulder (male),waist,body weight,light,30,25
kneeling push-up (male),chest,body weight,high,75,61
korean dips,chest,body weight,high,75,61
l-pull-up,back,body weight,high,75,61
l-sit on floor,waist,body weight,light,30,25
landmine 180,waist,barbell,light,27,22
landmine lateral raise,shoulders,barbell,high,69,56
lean planche,waist,body weight,light,30,25
left hook. boxing,shoulders,body weight,high,72,59
leg pull in flat bench,waist,body weight,light,30,25
leg up hamstring stretch,upper legs,body weight,light,34,28
lever alternate leg press,upper legs,leverage machine,high,71,58
lever alternating narrow grip seated row,back,leverage machine,high,71,58
lever assisted chin-up,back,leverage machine,high,71,58
lever back extension,back,leverage machine,high,71,58
lever bent over row,back,barbell,high,71,58
lever bent-over row with v-bar,back,leverage machine,high,71,58
lever bicep curl,upper arms,leverage machine,high,69,56
lever calf press,lower legs,leverage machine,high,67,54
lever chest press,chest,leverage machine,high,71,58
lever chest press,chest,leverage machine,high,71,58
lever deadlift,upper legs,leverage machine,high,71,58
lever decline chest press,chest,leverage machine,high,71,58
lever donkey calf raise,lower legs,leverage machine,high,67,54
lever front pulldown,back,leverage machine,high,71,58
lever gripless shrug,back,leverage machine,high,71,58
lever gripless shrug v. 2,back,leverage machine,high,71,58
lever gripper hands,lower arms,leverage machine,high,64,52
lever hammer grip preacher curl,upper arms,leverage machine,high,69,56
lever high row,back,leverage machine,high,71,58
lever hip extension v. 2,upper legs,leverage machine,high,71,58
lever horizontal one leg press,upper legs,leverage machine,high,71,58
lever incline chest press,chest,leverage machine,high,71,58
lever incline chest press v. 2,chest,leverage machine,high,71,58
lever kneeling leg curl,upper legs,leverage machine,high,71,58
lever kneeling twist,waist,leverage machine,light,27,22
lever lateral raise,shoulders,leverage machine,high,69,56
lever leg extension,upper legs,leverage machine,high,71,58
lever lying leg curl,upper legs,leverage machine,high,71,58
lever lying two-one leg curl,upper legs,leverage machine,high,71,58
lever military press,shoulders,leverage machine,high,69,56
lever narrow grip seated row,back,leverage machine,high,71,58
lever one arm bent over row,back,barbell,high,71,58
lever one arm lateral high row,back,leverage machine,high,71,58
lever one arm lateral wide pulldown,back,leverage machine,high,71,58
lever one arm shoulder press,shoulders,leverage machine,high,69,56
lever overhand triceps dip,upper arms,leverage machine,high,69,56
lever preacher curl,upper arms,leverage machine,high,69,56
lever preacher curl v. 2,upper arms,leverage machine,high,69,56
lever pullover,back,leverage machine,high,71,58
lever reverse grip lateral pulldown,back,leverage machine,high,71,58
lever reverse grip preacher curl,upper arms,leverage machine,high,69,56
lever reverse grip vertical row,back,leverage machine,high,71,58
lever reverse hyperextension,upper legs,leverage machine,high,71,58
lever reverse t-bar row,back,leverage machine,high,71,58
lever rotary calf,lower legs,leverage machine,high,67,54
lever seated calf press,lower legs,leverage machine,high,67,54
lever seated calf raise,lower legs,leverage machine,high,67,54
lever seated crunch,waist,leverage machine,light,27,22
lever seated crunch (chest pad),waist,leverage machine,light,27,22
lever seated crunch v. 2,waist,leverage machine,light,27,22
lever seated dip,upper arms,leverage machine,high,69,56
lever seated fly,chest,leverage machine,high,71,58
lever seated good morning,upper legs,leverage machine,high,71,58
lever seated hip abduction,upper legs,leverage machine,high,71,58
lever seated hip adduction,upper legs,leverage machine,high,71,58
lever seated leg curl,upper legs,leverage machine,high,71,58
lever seated leg raise crunch,waist,leverage machine,light,27,22
lever seated reverse fly,shoulders,leverage machine,high,69,56
lever seated reverse fly (parallel grip),shoulders,leverage machine,high,69,56
lever seated row,back,leverage machine,high,71,58
lever seated squat calf raise on leg press machine,lower legs,leverage machine,high,67,54
lever shoulder press,shoulders,leverage machine,high,69,56
lever shoulder press v. 2,shoulders,leverage machine,high,69,56
lever shoulder press v. 3,shoulders,leverage machine,high,69,56
lever shrug,back,leverage machine,high,71,58
lever standing calf raise,lower legs,leverage machine,high,67,54
lever standing chest press,chest,leverage machine,high,71,58
lever t bar row,back,leverage machine,high,71,58
lever t-bar reverse grip row,back,leverage machine,high,71,58
lever triceps extension,upper arms,leverage machine,high,69,56
lever unilateral row,back,leverage machine,high,71,58
london bridge,back,rope,high,71,58
low glute bridge on floor,upper legs,body weight,moderate,51,42
lower back curl,back,body weight,high,75,61
lunge with jump,upper legs,body weight,moderate,51,42
lunge with twist,waist,body weight,light,30,25
lying (side) quads stretch,upper legs,body weight,light,34,28
lying elbow to knee,waist,body weight,light,30,25
lying leg raise flat bench,waist,body weight,light,30,25
lying leg-hip raise,waist,body weight,light,30,25
machine inner chest press,chest,leverage machine,high,71,58
march sit (wall),upper legs,body weight,moderate,51,42
medicine ball catch and overhead throw,back,medicine ball,high,71,58
medicine ball chest pass,chest,medicine ball,high,71,58
medicine ball chest push from 3 point stance,chest,medicine ball,high,71,58
medicine ball chest push multiple response,chest,medicine ball,high,71,58
medicine ball chest push single response,chest,medicine ball,high,71,58
medicine ball chest push with run release,chest,medicine ball,high,71,58
medicine ball close grip push up,upper arms,medicine ball,high,69,56
medicine ball overhead slam,back,medicine ball,high,71,58
medicine ball supine chest throw,upper arms,medicine ball,high,69,56
mixed grip chin-up,back,body weight,high,75,61
modified hindu push-up (male),chest,body weight,high,75,61
modified push up to lower arms,lower arms,body weight,high,68,55
monster walk,upper legs,body weight,moderate,51,42
mountain climber,cardio,body weight,high,68,55
muscle up,back,body weight,high,75,61
muscle-up (on vertical bar),back,body weight,high,75,61
narrow push-up on exercise ball,upper arms,stability ball,high,69,56
neck side stretch,neck,body weight,light,29,24
negative crunch,waist,body weight,light,30,25
oblique crunch v. 2,waist,body weight,light,30,25
oblique crunches floor,waist,body weight,light,30,25
olympic barbell hammer curl,upper arms,olympic barbell,high,69,56
olympic barbell triceps extension,upper arms,olympic barbell,high,69,56
one arm against wall,back,body weight,high,75,61
one arm chin-up,back,body weight,high,75,61
one arm dip,upper arms,body weight,high,72,59
one arm slam (with medicine ball),waist,medicine ball,light,27,22
one arm towel row,back,body weight,high,75,61
one leg donkey calf raise,lower legs,body weight,moderate,47,38
one leg floor calf raise,lower legs,body weight,moderate,47,38
one leg squat,upper legs,body weight,moderate,51,42
otis up,waist,weighted,light,27,22
outside leg kick push-up,upper legs,body weight,moderate,51,42
overhead triceps stretch,upper arms,body weight,light,31,26
pelvic tilt,waist,body weight,light,30,25
pelvic tilt into bridge,upper legs,body weight,moderate,51,42
peroneals stretch,lower legs,rope,light,26,21
pike-to-cobra push-up,upper legs,body weight,moderate,51,42
plyo push up,chest,body weight,high,75,61
posterior step to overhead reach,waist,body weight,light,30,25
posterior tibialis stretch,lower legs,rope,light,26,21
potty squat,waist,body weight,light,30,25
potty squat with support,upper legs,body weight,moderate,51,42
power clean,upper legs,barbell,high,71,58
power point plank,waist,body weight,light,30,25
prisoner half sit-up (male),waist,body weight,light,30,25
prone twist on stability ball,waist,stability ball,light,27,22
pull up (neutral grip),back,body weight,high,75,61
pull-in (on stability ball),waist,stability ball,light,27,22
pull-up,back,body weight,high,75,61
push and pull bodyweight,chest,body weight,high,75,61
push to run,cardio,body weight,high,68,55
push up on bosu ball,chest,bosu ball,high,71,58
push-up,chest,body weight,high,75,61
push-up (bosu ball),chest,bosu ball,high,71,58
push-up (on stability ball),chest,stability ball,high,71,58
push-up (on stability ball),chest,stability ball,high,71,58
push-up (wall),chest,body weight,high,75,61
push-up (wall) v. 2,chest,body weight,high,75,61
push-up close-grip off dumbbell,upper arms,dumbbell,high,69,56
