index,Age,Gender,Height (cm),Weight (lbs),Goal,Workout Plan,Experience Level,Weight Loss (lbs),Frequency days/week,Workout Type,Age Group,Weight Group,Weight Loss Scale,Cluster
1205,23,Male,173,132.54,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,26,4,Full Body,Ages 18-30,121-140,25-35,7
1206,55,Male,163,111.71,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 51-60,101-120,0,10
1207,54,Male,198,126.06,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,36,5,Split,Ages 51-60,121-140,35-45,11
1208,49,Male,160,149.63,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,19,5,Split,Ages 41-50,141-160,15-25,1
1209,49,Male,159,153.1,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 41-50,141-160,0,3
1210,18,Male,151,202.94,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,200+,0,1
1211,51,Male,186,121.21,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,121-140,0,11
1212,54,Male,166,173.94,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,35,4,Split,Ages 51-60,161-180,35-45,1
1213,29,Male,173,153.93,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,24,4,Split,Ages 18-30,141-160,15-25,10
1214,25,Male,166,152.86,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,27,3,Full Body,Ages 18-30,141-160,25-35,8
1215,30,Male,172,143.75,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,40,4,Split,Ages 18-30,141-160,35-45,1
1216,38,Male,191,168.12,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,14,4,Split,Ages 31-40,161-180,5-15,10
1217,40,Male,157,91.97,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 31-40,80-100,0,1
1218,38,Male,180,103.67,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,17,3,Full Body,Ages 31-40,101-120,15-25,8
1219,29,Male,186,155.53,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,141-160,0,8
1220,44,Male,181,162.28,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,15,5,Split,Ages 41-50,161-180,15-25,12
1221,56,Male,192,114.18,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 51-60,101-120,0,3
1222,25,Male,164,102.09,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,14,4,Split,Ages 18-30,101-120,5-15,1
1223,41,Male,196,150.18,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 41-50,141-160,0,12
1224,47,Male,179,123.95,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,121-140,0,1
1225,40,Male,175,171.62,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 31-40,161-180,0,1
1226,33,Male,176,147.92,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,15,4,Full Body,Ages 31-40,141-160,15-25,7
1227,60,Male,188,144.82,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,141-160,0,11
1228,44,Male,193,133.02,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 41-50,121-140,0,7
1229,57,Male,185,194.85,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,180-200,0,8
1230,55,Male,183,101.27,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,101-120,0,8
1231,20,Male,196,144.7,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,25,5,Split,Ages 18-30,141-160,25-35,11
1232,29,Male,173,186.96,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 18-30,180-200,0,1
1233,38,Male,165,149.4,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 31-40,141-160,0,11
1234,33,Male,156,121.15,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,40,4,Split,Ages 31-40,121-140,35-45,10
1235,54,Male,152,139.98,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,29,4,Full Body,Ages 51-60,121-140,25-35,7
1236,55,Male,163,199.62,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,47,4,Split,Ages 51-60,180-200,45-50,1
1237,53,Male,193,152.9,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,45,5,Split,Ages 51-60,141-160,45-50,1
1238,55,Male,184,196.8,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 51-60,180-200,0,8
1239,31,Male,170,203.36,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 31-40,200+,0,1
1240,54,Male,176,105.56,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 51-60,101-120,0,1
1241,29,Male,168,172.96,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 18-30,161-180,0,8
1242,37,Male,185,160.6,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,32,4,Full Body,Ages 31-40,141-160,25-35,7
1243,55,Male,158,158.85,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,0,5,Split,Ages 51-60,141-160,0,1
1244,33,Male,151,155.58,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,13,4,Split,Ages 31-40,141-160,5-15,10
1245,43,Male,159,198.06,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,10,5,Split,Ages 41-50,180-200,5-15,12
1246,32,Male,193,153.99,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,30,3,Full Body,Ages 31-40,141-160,25-35,8
1247,21,Male,198,209.68,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 18-30,200+,0,3
1248,47,Male,163,107.26,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,12,5,Split,Ages 41-50,101-120,5-15,12
1249,24,Male,170,109.21,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,42,5,Split,Ages 18-30,101-120,35-45,11
1250,35,Male,189,86.64,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 31-40,80-100,0,12
1251,30,Male,185,153.46,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,48,2,Full Body,Ages 18-30,141-160,45-50,8
1252,40,Male,193,97.47,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,28,2,Full Body,Ages 31-40,80-100,25-35,8
1253,48,Male,171,125.29,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 41-50,121-140,0,12
1254,19,Male,159,102.85,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,48,4,Full Body,Ages 18-30,101-120,45-50,7
1255,51,Male,172,113.76,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,42,5,Split,Ages 51-60,101-120,35-45,1
1256,57,Male,184,81.42,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 51-60,80-100,0,8
1257,52,Male,155,143.28,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,5,4,Split,Ages 51-60,141-160,5-15,1
1258,21,Male,177,164.09,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 18-30,161-180,0,3
1259,19,Male,157,190.37,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 18-30,180-200,0,3
1260,42,Male,170,123.07,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 41-50,121-140,0,12
1261,43,Male,161,148.44,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 41-50,141-160,0,11
1262,28,Male,176,81.49,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,47,3,Full Body,Ages 18-30,80-100,45-50,8
1263,41,Male,188,150.58,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,39,4,Split,Ages 41-50,141-160,35-45,1
1264,56,Male,188,186.41,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,180-200,0,8
1265,58,Male,153,165.42,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 51-60,161-180,0,8
1266,57,Male,157,179.93,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,161-180,0,8
1267,29,Male,157,178.66,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,31,2,Full Body,Ages 18-30,161-180,25-35,8
1268,36,Male,166,140.47,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 31-40,121-140,0,12
1269,50,Male,169,110.04,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,19,5,Split,Ages 41-50,101-120,15-25,1
1270,54,Male,184,133.69,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,30,4,Split,Ages 51-60,121-140,25-35,1
1271,58,Male,193,177.46,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,39,5,Split,Ages 51-60,161-180,35-45,1
1272,60,Male,150,206.77,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,200+,0,12
1273,20,Male,153,174.62,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,28,5,Split,Ages 18-30,161-180,25-35,1
1274,56,Male,189,85.2,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,80-100,0,8
1275,54,Male,166,88.14,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,80-100,0,11
1276,25,Male,182,117.56,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 18-30,101-120,0,12
1277,37,Male,174,97.42,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,80-100,0,7
1278,26,Male,198,177.7,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,161-180,0,1
1279,22,Male,190,155.84,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,22,5,Split,Ages 18-30,141-160,15-25,1
1280,31,Male,160,169.86,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,37,4,Split,Ages 31-40,161-180,35-45,10
1281,19,Male,192,116.87,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,101-120,0,8
1282,58,Male,197,160.13,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,27,2,Full Body,Ages 51-60,141-160,25-35,8
1283,36,Male,197,116.78,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,6,4,Split,Ages 31-40,101-120,5-15,10
1284,60,Male,177,175.74,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 51-60,161-180,0,1
1285,58,Male,181,209.81,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,15,5,Split,Ages 51-60,200+,15-25,12
1286,47,Male,157,186.14,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 41-50,180-200,0,1
1287,39,Male,176,206.97,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 31-40,200+,0,12
1288,37,Male,187,107.47,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 31-40,101-120,0,10
1289,30,Male,161,195.45,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,35,5,Split,Ages 18-30,180-200,35-45,1
1290,43,Male,195,173.59,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,10,3,Full Body,Ages 41-50,161-180,5-15,3
1291,49,Male,164,125.34,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 41-50,121-140,0,8
1292,38,Male,154,201.97,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,30,5,Split,Ages 31-40,200+,25-35,1
1293,34,Male,197,87.06,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,80-100,0,7
1294,22,Male,151,85.93,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,27,4,Split,Ages 18-30,80-100,25-35,1
1295,26,Male,150,166.39,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 18-30,161-180,0,11
1296,60,Male,150,99.7,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 51-60,80-100,0,12
1297,58,Male,157,140.78,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,7,6,Split,Ages 51-60,121-140,5-15,12
1298,34,Male,168,174.85,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,33,3,Full Body,Ages 31-40,161-180,25-35,8
1299,51,Male,160,157.52,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,35,2,Full Body,Ages 51-60,141-160,35-45,8
1300,58,Male,166,97.34,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,32,4,Full Body,Ages 51-60,80-100,25-35,7
1301,21,Male,172,156.78,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,49,4,Split,Ages 18-30,141-160,45-50,10
1302,27,Male,162,127.65,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,30,6,Split,Ages 18-30,121-140,25-35,12
1303,45,Male,166,192.49,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,14,4,Split,Ages 41-50,180-200,5-15,1
1304,59,Male,183,157.85,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 51-60,141-160,0,8
1305,26,Male,183,162.1,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,161-180,0,8
1306,31,Male,176,90.98,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,8,5,Split,Ages 31-40,80-100,5-15,1
1307,24,Male,184,159.76,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,13,2,Full Body,Ages 18-30,141-160,5-15,8
1308,47,Male,170,179.21,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 41-50,161-180,0,12
1309,27,Male,157,123.8,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,49,3,Full Body,Ages 18-30,121-140,45-50,8
1310,41,Male,180,204.33,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,200+,0,1
1311,19,Male,164,138.48,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 18-30,121-140,0,12
1312,51,Male,176,193.03,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,30,6,Split,Ages 51-60,180-200,25-35,12
1313,21,Male,180,176.39,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 18-30,161-180,0,12
1314,24,Male,159,179.82,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 18-30,161-180,0,1
1315,40,Male,165,182.3,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,11,6,Split,Ages 31-40,180-200,5-15,12
1316,31,Male,174,194.72,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,28,4,Full Body,Ages 31-40,180-200,25-35,7
1317,38,Male,155,83.38,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,28,4,Full Body,Ages 31-40,80-100,25-35,7
1318,45,Male,188,92.06,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 41-50,80-100,0,1
1319,35,Male,150,123.78,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,0,3,Full Body,Ages 31-40,121-140,0,3
1320,22,Male,150,133.02,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 18-30,121-140,0,8
1321,31,Male,196,166.42,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,36,5,Split,Ages 31-40,161-180,35-45,1
1322,51,Male,176,134.6,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,16,5,Split,Ages 51-60,121-140,15-25,12
1323,41,Male,181,147.48,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,19,5,Split,Ages 41-50,141-160,15-25,1
1324,19,Male,195,89.08,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,20,3,Full Body,Ages 18-30,80-100,15-25,3
1325,28,Male,159,146.94,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 18-30,141-160,0,8
1326,49,Male,196,156.82,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 41-50,141-160,0,11
1327,32,Male,158,112.18,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,37,4,Split,Ages 31-40,101-120,35-45,10
1328,31,Male,188,146.41,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 31-40,141-160,0,1
1329,35,Male,177,146.5,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 31-40,141-160,0,11
1330,31,Male,162,160.32,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,141-160,0,8
1331,19,Male,176,120.66,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,49,5,Split,Ages 18-30,101-120,45-50,1
1332,26,Male,159,170.65,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 18-30,161-180,0,1
1333,47,Male,150,95.36,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,27,5,Split,Ages 41-50,80-100,25-35,1
1334,59,Male,192,196.92,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,0,5,Split,Ages 51-60,180-200,0,1
1335,48,Male,175,198.03,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,18,4,Split,Ages 41-50,180-200,15-25,10
1336,59,Male,175,93.41,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,11,4,Split,Ages 51-60,80-100,5-15,1
1337,55,Male,189,209.35,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,34,5,Split,Ages 51-60,200+,25-35,11
1338,39,Male,174,183.57,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,9,6,Split,Ages 31-40,180-200,5-15,12
1339,21,Male,158,136.07,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 18-30,121-140,0,1
1340,37,Male,188,88.27,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 31-40,80-100,0,10
1341,23,Male,185,81.41,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 18-30,80-100,0,11
1342,58,Male,166,120.78,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 51-60,101-120,0,1
1343,50,Male,175,205.91,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 41-50,200+,0,10
1344,29,Male,175,154.54,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 18-30,141-160,0,1
1345,33,Male,195,86.65,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,9,2,Full Body,Ages 31-40,80-100,5-15,8
1346,43,Male,195,206.53,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,21,5,Split,Ages 41-50,200+,15-25,1
1347,23,Male,188,144.59,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,29,2,Full Body,Ages 18-30,141-160,25-35,8
1348,58,Male,185,111.6,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 51-60,101-120,0,10
1349,35,Male,200,175.55,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,161-180,0,7
1350,26,Male,189,151.16,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,7,5,Split,Ages 18-30,141-160,5-15,1
1351,31,Male,194,176.45,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 31-40,161-180,0,8
1352,21,Male,186,83.27,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,44,6,Split,Ages 18-30,80-100,35-45,12
1353,18,Male,151,128.77,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,29,4,Split,Ages 18-30,121-140,25-35,10
1354,24,Male,194,138.91,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 18-30,121-140,0,11
1355,34,Male,158,94.22,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,25,5,Split,Ages 31-40,80-100,25-35,1
1356,44,Male,198,205.99,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,200+,0,1
1357,35,Male,195,98.33,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 31-40,80-100,0,7
1358,42,Male,182,176.12,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,26,4,Full Body,Ages 41-50,161-180,25-35,7
1359,36,Male,150,136.85,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 31-40,121-140,0,12
1360,22,Male,189,169.36,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,41,6,Split,Ages 18-30,161-180,35-45,12
1361,53,Male,150,96.45,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,0,6,Split,Ages 51-60,80-100,0,12
1362,46,Male,174,177.49,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,0,4,Split,Ages 41-50,161-180,0,1
1363,33,Male,158,139.5,Build Muscle,3 Day Workout Routine and Diet for Beginners,Beginner,0,3,Full Body,Ages 31-40,121-140,0,8
1364,59,Male,174,209.93,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 51-60,200+,0,12
1365,44,Male,156,83.02,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,5,5,Split,Ages 41-50,80-100,5-15,11
1366,36,Male,154,114.57,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 31-40,101-120,0,1
1367,23,Male,200,110.53,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 18-30,101-120,0,10
1368,31,Male,164,89.9,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 31-40,80-100,0,12
1369,40,Male,169,197.52,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,0,4,Split,Ages 31-40,180-200,0,1
1370,30,Male,181,96.8,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,0,4,Full Body,Ages 18-30,80-100,0,7
1371,38,Male,181,86.32,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,19,5,Split,Ages 31-40,80-100,15-25,1
1372,33,Male,190,154.09,Lose Fat,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Intermediate,35,3,Full Body,Ages 31-40,141-160,35-45,3
1373,46,Male,177,208.64,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,45,5,Split,Ages 41-50,200+,45-50,1
1374,46,Male,199,133.06,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,28,5,Split,Ages 41-50,121-140,25-35,12
1375,29,Male,198,132.74,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,28,4,Split,Ages 18-30,121-140,25-35,1
1376,50,Male,193,175.57,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,40,5,Split,Ages 41-50,161-180,35-45,1
1377,53,Male,188,203.69,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,21,4,Full Body,Ages 51-60,200+,15-25,7
1378,50,Male,191,88.21,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,19,5,Split,Ages 41-50,80-100,15-25,11
1379,56,Male,167,89.2,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,27,5,Split,Ages 51-60,80-100,25-35,1
1380,25,Male,173,200.08,Build Muscle,8 Week Mass Building Hypertrophy Workout,Intermediate,31,4,Split,Ages 18-30,200+,25-35,1
1381,54,Male,157,205.02,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 51-60,200+,0,11
1382,32,Male,170,83.62,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,35,5,Split,Ages 31-40,80-100,35-45,1
1383,23,Male,163,170.82,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,0,5,Split,Ages 18-30,161-180,0,11
1384,48,Male,187,98.04,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,22,4,Split,Ages 41-50,80-100,15-25,1
1385,46,Male,177,191.57,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,43,5,Split,Ages 41-50,180-200,35-45,1
1386,41,Male,175,176.48,Lose Fat,12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Beginner,44,4,Full Body,Ages 41-50,161-180,35-45,7
1387,34,Male,178,90.49,Lose Fat,The Fat Incinerator: 8 Week Fat Burning Workout,Intermediate,42,5,Split,Ages 31-40,80-100,35-45,11
